Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
126/2016,DISPENSA DE LICITAÇÃO,46,19-07-2016 08:00,,20-07-2016,Encerrado,"Aquisição de medicamento excepcional para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13.5028.",,,,,
112/2016,PREGÃO PRESENCIAL,47,18-07-2016 08:30,,22-06-2016,Encerrado,Contratação de prestador de serviços de arbitragem esportiva para a realização do Campeonato Regional de Futsal 2016 no Município de Prata.,,,,,
117/2016,TOMADA DE PREÇOS,6,15-07-2016 08:30,,29-06-2016,Encerrado,"Contratação de pessoa jurídica na área de engenharia para elaboração de projetos e execução de obras de extensão e adequação de rede elétrica, em diversos logradouros do Município de Prata/MG, conforme projeto elaborado, planilha orçamentária e memorial descritivo, com fornecimento de mão de obra e materiais.

",,,,,
119/2016,PREGÃO PRESENCIAL,49,14-07-2016 08:30,,01-07-2016,Encerrado,"Aquisição de uniformes e materiais para serem usados pelos Agentes de Endemias em ações da Vigilância Ambiental - Zoonoses, conforme Termo de Compromisso nº 614/4969/2015 firmado entre o Município de Prata por intermédio de sua Secretaria ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 4 de, 10,,,
,,,,,,,Municipal de Saúde e a Secretaria de Estado de Minas Gerais. Conta Corrente nº 17.939-6.,,,,,
118/2016,PREGÃO PRESENCIAL,48,13-07-2016 08:30,,30-06-2016,Encerrado,"Contratação de pessoa jurídica para prestação de serviço de levantamento cadastral físico e social de aproximadamente 240 (duzentos e quarenta) imóveis dos Bairros Esperança, Primavera II, Mutirão e Alvorada, para fins de futura regularização de propriedade dos mencionados imóveis do Município de Prata-MG.",,,,,
116/2016,PREGÃO - REGISTRO DE PREÇO,10,11-07-2016 08:30,,28-06-2016,Encerrado,Registro de Preços para futura e eventual aquisição de materiais de limpeza hospitalar para serem usados na lavanderia e higienização de pisos e superfícies fixas do Pronto Atendimento Municipal - PAM.,,,,,
121/2016,DISPENSA DE LICITAÇÃO,45,08-07-2016 08:30,,11-07-2016,Encerrado,"Aquisição de um aparelho CPAP ""Contiunous Positive Airway Pressure"" - (Pressão Positiva Contínua na Via Aérea) e 02 (duas) máscaras nasais wisp com porto expiratório em silicone, utilizada no aparelho CPAP, para a paciente Maria Inácia Dias Souza, conforme determinação de Ação Judicial n° 0005088-91.2016.8.13.0528.",,,,,
111/2016,PREGÃO PRESENCIAL,46,04-07-2016 08:30,,22-06-2016,Encerrado,"Aquisição de materiais para serem usados na manutenção, substituição e ampliação da rede de esgotos sanitários.",,,,,
115/2016,DISPENSA DE LICITAÇÃO,44,27-06-2016 15:00,,28-06-2016,Encerrado,"Aquisição de suplemento alimentar para a paciente Jaine Rios Silva, conforme determinação de Ação Civil Pública nº  0012464-31.2016.8.13.0528.",,,,,
114/2016,DISPENSA DE LICITAÇÃO,43,27-06-2016 13:30,,28-06-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Marco Antonio Junqueira Rezende, conforme determinação de Ação Civil Pública nº 0018802-55.2015.8.13.0528.",,,,,
109/2016,PREGÃO PRESENCIAL,45,23-06-2016 13:30,,13-06-2016,Encerrado,"Realização de evento na Praça XV de Novembro, Centro, no dia 25/06/2016, destinado a comemoração do ""Juninão Municipal"", início previsto às 22:00 horas e término às 03:00 horas do dia 26/06/2016.",,,,,
113/2016,DISPENSA DE LICITAÇÃO,42,23-06-2016 09:00,,28-06-2016,Encerrado,"Aquisição de medicamento excepcional para o paciente Edgar Costa Santos, conforme determinação de Ação Judicial n° 14029-73.2013.4.01.3803.",,,,,
108/2016,PREGÃO PRESENCIAL,44,23-06-2016 08:30,,13-06-2016,Encerrado,"Aquisição de materiais para o Projeto MPT: ""Evasão Escolar na Escola Municipal Afonsina Maria de Jesus no distrito de Patrimônio do Rio do Peixe e Escola Municipal João Anesi no Povoado de Monjolinho"", para atender ao Programa MPT - Ministério Público Trabalhista na Escola Recurso do FIA.",,,,,
106/2016,PREGÃO PRESENCIAL,43,21-06-2016 08:30,,09-06-2016,Revogado,"Realização de evento na Praça XV de Novembro, Centro, no dia 25/06/2016, destinado a comemoração do ""Juninão Municipal"", início previsto às 22:00 horas e término às 03:00 horas do dia 26/06/2016.",,,,,
105/2016,PREGÃO PRESENCIAL,42,20-06-2016 08:30,,07-06-2016,Encerrado,"Contratação de pessoa jurídica para prestação de serviços de controle sanitário integrado, objetivando a limpeza e desinfecção de caixas d'água e reservatórios, desinsetização e desratização, de todas áreas internas dos Prédios Públicos como PSF's e Posto de Apoio de Saúde do Bairro Progresso, COM - Centro Odontológico Municipal, CAPS - Centro de Atenção Psicossocial, PAM - Pronto Atendimento Municipal e Policlínica Conceição Aparecida Rodrigues Costa.",,,,,
95/2016,PREGÃO PRESENCIAL,40,16-06-2016 08:30,,20-05-2016,Encerrado,Aquisição de materiais diversos para serem usados nas oficinas pedagógicas realizadas no Centro de Referência de Assistência Social - CRAS. Recurso: PMPFMASSCFV / Conta: 19834-x.,,,,,
101/2016,PREGÃO PRESENCIAL,41,15-06-2016 08:30,,03-06-2016,Revogado,"Aquisição de equipamentos, produtos de limpeza, artigos de higiene pessoal e utensílios para a Creche Dalela Tannús, conforme Resoluções do FNDE - Fundo Nacional de Desenvolvimento da Educação, Resolução Nº 19, de 29 de dezembro de 2015 e Resolução Nº 1, de 18 de fevereiro de 2016. Recursos de Transferências Direta / Brasil Carinhoso / Apoio a Creches, Conta Corrente 18.681-3.",,,,,
92/2016,PREGÃO PRESENCIAL,38,14-06-2016 08:30,,12-05-2016,Revogado,"Contratação de empresa para montagem de estrutura, iluminação e som para realização de evento na Praça XV de Novembro, Centro, nos dias 25/06/2016, das 20:00 à 01:00 da manhã e 26/06/2016, das 16:00 à 01:00 da manhã, destinado a comemoração do ""Juninão Municipal"".",,,,,
110/2016,DISPENSA DE LICITAÇÃO,41,10-06-2016 13:00,,04-07-2016,Encerrado,"Locação de um imóvel urbano para instalação e uso do PSF do Bairro Cruzeiro do Sul, situado à Rua Tenente Reis, nº 1.340, Bairro Cruzeiro do Sul - Prata - MG.

",,,,,
98/2016,INEXIGIBILIDADE DE LICITAÇÃO,8,10-06-2016 08:30,,24-05-2016,Encerrado,"Credenciamento de profissionais e de pessoas jurídica para prestação de serviços na área de Saúde para o ano de 2016, para as seguintes funções: médico pediatra, médico cirurgião, médicos plantonistas e pequenas cirurgias.",,,,,
107/2016,DISPENSA DE LICITAÇÃO,40,09-06-2016 07:30,,10-06-2016,Encerrado,"Aquisição de medicamento excepcional para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13.0528.",,,,,
72/2016,CONCORRENCIA PÚBLICA,1,06-06-2016 08:30,,19-04-2016,Fracassado,"Doação com encargos de 01 (um) lote, localizado no Setor Industrial, de acordo com a Lei Municipal nº 2.288/2011.",,,,,
104/2016,DISPENSA DE LICITAÇÃO,39,03-06-2016 16:00,,06-06-2016,Encerrado,"Aquisição de medicamento para o paciente Ricardo José da Silva, conforme determinação de Ação Civil Pública nº 0012987-77.2015.8.13.0528.",,,,,
102/2016,DISPENSA DE LICITAÇÃO,37,03-06-2016 15:30,,06-06-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Pedro Nunes Costa, conforme determinação de Ação Civil Pública n°0018851-96.2015.8.13.0528.",,,,,
103/2016,DISPENSA DE LICITAÇÃO,38,03-06-2016 15:00,,06-06-2016,Encerrado,"Aquisição de medicamento para a paciente Lindalma Nunes Souza, conforme determinação ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 5 de, 10,,,
,,,,,,,de Ação Civil Publica nº 0005146-94.2016.8.13.0528.,,,,,
100/2016,DISPENSA DE LICITAÇÃO,36,01-06-2016 14:00,,24-06-2016,Anulado,"Contratação de 01 (um) coordenador e 04 (quatro) instrutores de oficina para o Projeto MPT: ""Evasão Escolar Municipal na Escola Municipal Afonsina Maria de Jesus, no Distrito de Patrimônio do Rio do Peixe e Escola Municipal João Anesi, no Povoado de Monjolinho"", para atender ao Programa MPT - Ministério Público Trabalhista na Escola. Recurso do FIA.",,,,,
99/2016,DISPENSA DE LICITAÇÃO,35,01-06-2016 08:00,,07-06-2016,Encerrado,"Locação de um imóvel urbano para instalação e uso da Delegacia - Policia Civil, situado à Rua João de Almeida Macedo, 446, Bairro Centro - Prata-MG, durante o exercício de 2016.",,,,,
93/2016,PREGÃO PRESENCIAL,39,31-05-2016 08:30,,13-05-2016,Encerrado,"Contratação de seguro de automóvel para os veículos: Pas / Automovel - Fiat Doblo Essence 1.8 - Flex - Placa PXL-8093, Pas / Automovel - Fiat Doblo Essence 1.8 - Flex - Placa PXL-8091, Pas / Automovel - Fiat Palio Fire - Flex - Placa PXL-8089, a serviço da Saúde Atenção Especializada.",,,,,
94/2016,PREGÃO - REGISTRO DE PREÇO,9,25-05-2016 15:00,,20-05-2016,Encerrado,"Adesão mediante ""CARONA"" à Ata de Registro de Preços do Pregão Eletrônico nº 15/2015/FNDE/MEC, para aquisição de mobiliários escolares de conjunto aluno, mesa acessível e conjunto professor em atendimento as entidades educacionais das redes públicas de ensino no Município de Prata - MG. Termo de Compromisso PAR nº 10319/2012.",,,,,
90/2016,PREGÃO PRESENCIAL,37,25-05-2016 08:30,,06-05-2016,Encerrado,"Aquisição de fogos de artifício, para atender as demandas provenientes dos eventos da Prefeitura Municipal de Prata-MG.",,,,,
89/2016,PREGÃO - REGISTRO DE PREÇO,8,24-05-2016 08:30,,06-05-2016,Encerrado,"Registro de Preços para futura e eventual aquisição de equipamentos de proteção individual (EPI's), para atender as necessidades das Secretarias da Prefeitura Municipal de Prata-MG.",,,,,
88/2016,TOMADA DE PREÇOS,5,23-05-2016 08:30,,05-05-2016,Encerrado,"Contratação de pessoa jurídica para execução de obra de infraestrutura urbana, compreendendo os seguintes serviços, pavimentação asfáltica em CBUQ, execução de meio fio e sarjeta em concreto conjugada, os serviços serão executados nas Ruas Santa Juliana e São Benedito, no Bairro Vila Juliana, no Município de Prata/MG, conforme Convênio nº 1491002450/2015, que entre si celebram o Município de Prata e a Secretaria de Estado de Governo de Minas Gerais.",,,,,
97/2016,DISPENSA DE LICITAÇÃO,34,20-05-2016 14:00,,23-05-2016,Encerrado,"Aquisição de medicamento para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13.5028.",,,,,
96/2016,DISPENSA DE LICITAÇÃO,33,20-05-2016 12:30,,23-05-2016,Encerrado,Aquisição de medicamentos básicos para serem distribuídos na Farmácia Municipal.,,,,,
87/2016,PREGÃO PRESENCIAL,36,20-05-2016 08:30,,05-05-2016,Encerrado,Aquisição de 01 (um) termonebulizador veicular para atender as necessidades do Departamento de Vigilância Ambiental - Zoonoses.,,,,,
85/2016,PREGÃO PRESENCIAL,35,19-05-2016 08:30,,04-05-2016,Encerrado,"Contratação de pessoa jurídica para prestação de serviços de construção de 50 (cinquenta) covas/túmulos, em blocos de cimento, incluindo material e mão de obra, no Cemitério Municipal Morada do Sol, localizado na Rua Sacramento, nº 3.001, no Bairro Morada do Sol, no Município de Prata-MG.",,,,,
84/2016,PREGÃO PRESENCIAL,34,18-05-2016 08:30,,04-05-2016,Encerrado,"Contratação de empresa para prestação de serviços de recargas de cartuchos e toners, para suprir as necessidades das Secretarias da Prefeitura Municipal de Prata-MG.",,,,,
77/2016,PREGÃO - REGISTRO DE PREÇO,7,09-05-2016 08:30,,26-04-2016,Encerrado,Registro de Preços para futura e eventual aquisição de materiais esportivos para atendimento ao Centro de Esporte e Lazer - CEL e das Praças de Esportes do Município.,,,,,
91/2016,DISPENSA DE LICITAÇÃO,32,05-05-2016 13:00,,06-05-2016,Encerrado,"Aquisição de um inalador nebulizador a ar comprimido portátil para a Casa de Acolhimento Jamile Miguel Teodoro, para o menor Bryan Nascimento Santos que se encontra com pneumonia e a outras crianças internas que necessitem de inalação.",,,,,
86/2016,DISPENSA DE LICITAÇÃO,31,04-05-2016 08:00,,05-05-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Matheus Alves de Oliveira, conforme determinação de Ação Civil Pública nº 0003593-17.2013.8.13.0528.",,,,,
83/2016,DISPENSA DE LICITAÇÃO,30,03-05-2016 12:45,,04-05-2016,Encerrado,"Aquisição de medicamento para a paciente Miriam Rosária Maia, conforme determinação de Ação Civil Pública nº 0006844-43.2013.8.13.0528.",,,,,
71/2016,PREGÃO PRESENCIAL,33,03-05-2016 08:30,,18-04-2016,Fracassado,"Contratação de empresa para prestação de serviços gráficos para confecção de cartilhas do Projeto de Educação Patrimonial desenvolvido nas Escolas da Rede Municipal, visando a Difusão do Patrimônio Cultural, promovido pelo Fundo Municipal de Preservação do Patrimônio Cultural.",,,,,
82/2016,DISPENSA DE LICITAÇÃO,29,03-05-2016 08:00,,04-05-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Marco Antonio Junqueira Rezende, conforme determinação de Ação Civil Pública nº 0018802-55.2015.8.13.0528.  ",,,,,
80/2016,DISPENSA DE LICITAÇÃO,27,29-04-2016 14:00,,02-05-2016,Encerrado,"Aquisição de medicamento excepcional para o paciente Ricardo José da Silva, conforme determinação de Ação Civil Pública nº 0012987-77.2015.8.13.0528.",,,,,
81/2016,DISPENSA DE LICITAÇÃO,28,29-04-2016 13:30,,02-05-2016,Encerrado,"Aquisição de medicamento excepcional para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13.5028.",,,,,
79/2016,DISPENSA DE LICITAÇÃO,26,27-04-2016 16:00,,28-04-2016,Encerrado,"Aquisição de medicamento para o paciente Edgar Costa Santos conforme determinação de Ação Judicial nº 14029-73.2013.4.01.3803.

",,,,,
78/2016,DISPENSA DE LICITAÇÃO,25,27-04-2016 15:00,,28-04-2016,Encerrado,"Aquisição de medicamento para a paciente Lindalma Nunes Souza, conforme determinação de Ação Civil Publica nº 0005146-94.2016.8.13.0528.",,,,,
70/2016,PREGÃO - REGISTRO DE ,6,27-04-2016 08:30,,12-04-2016,Encerrado,",Registro de preços para futura e eventual aquisição de materiais odontológicos e ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 6 de, 10,,,
,PREÇO,,,,,,"instrumentais para serem usados na manutenção dos consultórios dos PSF's e do COM - Centro Odontológico Municipal, para atender as necessidades da Secretaria de Saúde da Prefeitura Municipal de Prata-MG.",,,,,
75/2016,DISPENSA DE LICITAÇÃO,23,20-04-2016 15:30,,22-04-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Brayan Nascimento Santos, conforme determinação de Ação Judicial nº 0001442-73.2016.8.13.0528.",,,,,
66/2016,PREGÃO PRESENCIAL,32,20-04-2016 08:30,,07-04-2016,Encerrado,Aquisição de impressos gráficos para atender as necessidades da Secretaria de Saúde da Prefeitura Municipal de Prata-MG.,,,,,
65/2016,PREGÃO PRESENCIAL,31,19-04-2016 08:30,,06-04-2016,Encerrado,"Aquisição de gêneros alimentícios e descartáveis, visando atendimento a projetos, reuniões, campanhas de vacinação e eventos promovidos pela Secretaria de Ação Social, Trabalho e Promoção Humana, CRAS, Centros de Múltiplo Uso, Casa de Acolhimento, PSF's, Vigilância Epidemiológica, Secretaria de Saúde, Vigilância Ambiental - Zoonoses, CAPS, Divisão de Esporte e Lazer e Secretaria de Educação, durante o exercício de 2016.",,,,,
74/2016,DISPENSA DE LICITAÇÃO,22,18-04-2016 15:30,,19-04-2016,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulalio Souza, conforme determinação de Ação Judicial nº 0030869-23.2013.8.13.0528.",,,,,
73/2016,DISPENSA DE LICITAÇÃO,21,18-04-2016 13:00,,19-04-2016,Encerrado," Fornecimento de refeições (marmitex) para atender o ofício Mandado de Intimação n° 1442-73/2016 e despesas da Casa de Acolhimento ""Jamile Miguel Teodoro"".",,,,,
64/2016,PREGÃO PRESENCIAL,30,12-04-2016 08:30,,30-03-2016,Encerrado,"Aquisição de materiais para serem usados nas oficinas de artesanatos dos Centros de Múltiplo Uso Clóvis Teodoro Novais e Edésio Vilela Rezende, bem como aquisição de tecidos para serem utilizados no PAM - Pronto Atendimento Municipal e nos PSF's.",,,,,
63/2016,PREGÃO PRESENCIAL,29,11-04-2016 13:30,,29-03-2016,Encerrado,Contratação de gráfica para confecção de aproximadamente 13.300 (treze mil e trezentos) impressos personalizados de guia de IPTU/2016 para atender a Divisão de Tributação e Cadastro.,,,,,
69/2016,DISPENSA DE LICITAÇÃO,20,11-04-2016 10:00,,12-04-2016,Encerrado," Renovação de 152 (cento e cinquenta e duas) licenças de software antivírus Trend Micro Standard, com serviço de suporte técnico e atualização de versão e manutenção da garantia de atualização de versões, pelo período de 12 meses, atendendo as estações de trabalho e servidores da Prefeitura Municipal de Prata - MG.",,,,,
68/2016,DISPENSA DE LICITAÇÃO,19,07-04-2016 15:30,,08-07-2016,Encerrado,Aquisição de impressora para o Setor de Contabilidade.,,,,,
67/2016,DISPENSA DE LICITAÇÃO,18,07-04-2016 12:30,,08-04-2016,Encerrado,Aquisição de gêneros alimentícios e materiais de higiene pessoal para atender as necessidades da Casa de Acolhimento.,,,,,
59/2016,PREGÃO - REGISTRO DE PREÇO,5,05-04-2016 08:30,,21-03-2016,Encerrado,Registro de Preços para futura e eventual aquisição de materiais esportivos para atendimento ao Centro de Esporte e Lazer - CEL e das Praças de Esportes do Município.,,,,,
58/2016,TOMADA DE PREÇOS,4,04-04-2016 08:30,,17-03-2016,Encerrado,"Contratação de empresa para reforma e adaptação de edificação para implantação de base descentralizada do SAMU (Serviço de Atendimento Móvel de Urgência), situado à Rua Santa Catarina, nº 420, Bairro Oliveira, na cidade de Prata-MG.",,,,,
52/2016,PREGÃO PRESENCIAL,28,30-03-2016 08:30,,03-03-2016,Encerrado,Aquisição de materiais elétricos para manutenção de Prédios e Logradouros Públicos do Município de Prata-MG.,,,,,
49/2016,PREGÃO PRESENCIAL,26,28-03-2016 08:30,,29-02-2016,Encerrado,Aquisição de gêneros alimentícios para suprir as necessidades das Secretarias da Prefeitura Municipal de Prata.,,,,,
45/2016,PREGÃO - REGISTRO DE PREÇO,3,22-03-2016 08:30,,23-02-2016,Encerrado,Registro de preços para futura e eventual aquisição de câmaras de ar e protetores para serem utilizados nos veículos e máquinas da frota da Prefeitura Municipal de Prata.,,,,,
62/2016,DISPENSA DE LICITAÇÃO,17,21-03-2016 14:00,,21-03-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Pedro Nunes Costa, conforme determinação de Ação Civil Pública nº 0018851-96.2015.8.13.0528.",,,,,
61/2016,DISPENSA DE LICITAÇÃO,16,21-03-2016 13:30,,21-03-2016,Encerrado,"Aquisição de suplemento alimentar para a paciente Maria Beatriz de Castro Miranda, conforme determinação de Ação Civil Pública nº 0008386-96.2013.8.13.0528.",,,,,
60/2016,DISPENSA DE LICITAÇÃO,15,21-03-2016 12:30,,21-03-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Marco Antonio Junqueira Rezende, conforme determinação de Ação Civil Pública nº 0018802-55.2015.8.13.0528.",,,,,
55/2016,PREGÃO - REGISTRO DE PREÇO,4,21-03-2016 08:30,,09-03-2016,Encerrado,"Registro de Preços para futura e eventual prestação de serviços de manutenção preventiva e corretiva, com fornecimento e instalação de peças originais e/ou genuínas, quando for o caso, em todas as máquinas do Município de Prata.",,,,,
57/2016,DISPENSA DE LICITAÇÃO,14,15-03-2016 16:00,,16-03-2016,Encerrado,"Contratação de empresa para prestação de serviços de remendos de pneus para os veículos, motos e máquinas da frota da Prefeitura Municipal de Prata - MG.",,,,,
56/2016,DISPENSA DE LICITAÇÃO,13,15-03-2016 08:00,,16-03-2016,Encerrado,"Aquisição de roçadeira, carretel, ferro de solda e solda para ser utilizado pela Secretaria de Serviços Públicos e Divisão de Oficina e Almoxarifado.",,,,,
51/2016,PREGÃO PRESENCIAL,27,14-03-2016 08:30,,02-03-2016,Encerrado,"Aquisição de gêneros alimentícios, refrigerantes, descartáveis e kits de lanches, bem como locação de mesas e cadeiras, visando atendimento a projetos, reuniões, campanhas de vacinação e eventos promovidos pela Secretaria de Ação Social, Trabalho e Promoção Humana, Gabinete do Prefeito, CRAS, Centros de Múltiplo Uso, Casa de Acolhimento, PSF's, Vigilância Epidemiológica, Secretaria de Saúde, Vigilância Ambiental - Zoonoses, CAPS, Divisão de Esporte e Lazer e Secretaria de Educação, durante o exercício de 2016.",,,,,
48/2016,PREGÃO PRESENCIAL,25,11-03-2016 08:30,,25-02-2016,Deserto,"Contratação de empresa especializada para execução de serviços de restauração do Bem Inventariado EAU-27 - Zona 02/2005 da Estátua de Nossa Senhora do Carmo, situado no Morrinho Seio de Moça, na Zona Rural do Município de Prata/MG, com fornecimento de materiais, mão de obra e estrutura necessária.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 7 de, 10,,,
47/2016,PREGÃO PRESENCIAL,24,10-03-2016 08:30,,25-02-2016,Encerrado,Contratação de empresa para realização de serviços de confecção e instalação de sinalização vertical no Município de Prata-MG.,,,,,
54/2016,DISPENSA DE LICITAÇÃO,12,07-03-2016 14:00,,08-03-2016,Encerrado,"Aquisição de medicamento para o paciente Ricardo José da Silva, conforme determinação de Ação Civil Pública nº 0012987-77.2015.8.13.0528.",,,,,
53/2016,DISPENSA DE LICITAÇÃO,11,07-03-2016 13:00,,08-03-2016,Encerrado,"Aquisição de medicamento para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13.5028.",,,,,
44/2016,PREGÃO PRESENCIAL,23,07-03-2016 08:30,,22-02-2016,Encerrado,"Aquisição de ferramentas, materiais hidráulicos e de construção em geral para manutenção de Prédios e Logradouros Públicos do Município de Prata-MG.",,,,,
39/2016,PREGÃO PRESENCIAL,21,03-03-2016 08:30,,17-02-2016,Encerrado,Aquisição de materiais de expediente para suprir as necessidades das Secretarias da Prefeitura Municipal de Prata.,,,,,
41/2016,PREGÃO PRESENCIAL,22,02-03-2016 08:30,,18-02-2016,Encerrado,"Aquisição de ovos de chocolates para serem distribuídos às crianças, em comemoração à Páscoa.",,,,,
50/2016,DISPENSA DE LICITAÇÃO,10,01-03-2016 13:00,,10-03-2016,Encerrado,"Locação de um imóvel urbano para instalação e uso do CAPS - Centro de Atenção Psicossocial, situado à Rua Floriano Peixoto, nº 112, Bairro Centro, Prata - MG.",,,,,
36/2016,PREGÃO - REGISTRO DE PREÇO,2,29-02-2016 08:30,,12-02-2016,Encerrado,Registro de preços para futura e eventual aquisição de medicamentos para a Secretaria Municipal de Saúde.,,,,,
38/2016,PREGÃO PRESENCIAL,20,26-02-2016 15:30,,15-02-2016,Encerrado,"Contratação de animador (musico) para realização de Bailes dos Idosos ""Projeto Saber Viver"", no Centro de Referência da Assistência Social - CRAS, situado à Rua João de Almeida Macedo, nº 469, Bairro Centro, Prata, no período de março a dezembro de 2016.",,,,,
37/2016,PREGÃO PRESENCIAL,19,26-02-2016 13:30,,15-02-2016,Encerrado,"Contratação de instrutor de dança, para os Projetos do CRAS ""Ela Dança, Eu Danço"", e ""Saber Viver"" com objetivo de desenvolver técnicas de dança com jovens adolescentes e socialização das pessoas da 3ª idade, no Centro de Referência da Assistência Social - CRAS, situado à Rua João de Almeida Macedo, nº 469, Bairro Centro, Prata-MG.",,,,,
35/2016,PREGÃO PRESENCIAL,18,26-02-2016 08:30,,11-02-2016,Encerrado,Contratação de gráfica para confecção de impressos personalizados para atender as Escolas da rede municipal de ensino.,,,,,
32/2016,CHAMADA PUBLICA,1,25-02-2016 08:30,,03-02-2016,Encerrado,"Aquisição de gêneros alimentícios da agricultura familiar para alimentação escolar, Lei nº 11.947, de 16 de junho de 2009, Resolução nº 26, de 17 de junho de 2013, do FNDE, alterada pela Resolução nº 04, de 02 de abril de 2015, do FNDE.",,,,,
46/2016,DISPENSA DE LICITAÇÃO,9,24-02-2016 13:00,,01-03-2016,Encerrado,"Aquisição de peças novas e serviços de mão de obra para revisão de garantia de 10.000 km do veículo Car/Caminhonete/Fiat Strada Working Flex, placa PWH-4093, ano 2015 e modelo 2016, a serviço da Vigilância Sanitária Epiddmiológica.",,,,,
31/2016,PREGÃO - REGISTRO DE PREÇO,1,23-02-2016 08:30,,03-02-2016,Encerrado,"Registro de Preços para futura e eventual prestação de serviços de manutenção preventiva e corretiva, com fornecimento e instalação de peças originais e/ou genuínas, quando for o caso, em todos os veículos, máquinas e equipamentos mecânicos do Município de Prata.",,,,,
29/2016,PREGÃO PRESENCIAL,17,22-02-2016 08:30,,28-01-2016,Encerrado,"Aquisição de água mineral, recipiente para gás e recarga de gás GLP de 13 Kg para suprir as necessidades das Secretarias da Prefeitura Municipal de Prata-MG.",,,,,
43/2016,DISPENSA DE LICITAÇÃO,8,19-02-2016 13:30,,22-02-2016,Encerrado,"Aquisição de peças para manutenção corretiva dos veículos placas: HMG-7013, HLF-1557, OQM-9966 e máquina Pá Carregadeira CASE W20E (CARR-04), a serviço da Secretaria de Agricultura e Assistência Rural.",,,,,
27/2016,PREGÃO PRESENCIAL,16,19-02-2016 08:30,,27-01-2016,Encerrado,Aquisição de camisetas escolares para uniformizar os alunos do ensino infantil e fundamental das escolas municipais de Prata-MG.,,,,,
42/2016,DISPENSA DE LICITAÇÃO,7,18-02-2016 13:30,,22-02-2016,Encerrado,"Aquisição de medicamento excepcional para a paciente Sueli de Fatima Ferreira Silva, conforme determinação de Ação Civil Pública n° 0020472-02.2013.8.13.0528.",,,,,
40/2016,DISPENSA DE LICITAÇÃO,6,17-02-2016 10:00,,19-02-2016,Encerrado,",Contração de empresa para execução de serviços de manutenção para Processadora de Raio X, marca e modelo Momoroy Classic E.O.S - AGTA, patrimônio nº 10.915, do Pronto Atendimento Municipal - PAM.",,,,,
26/2016,PREGÃO PRESENCIAL,15,17-02-2016 08:30,,26-01-2016,Encerrado,Aquisição de materiais de limpeza e utensílios para suprir as necessidades das Secretarias da Prefeitura Municipal de Prata-MG.,,,,,
22/2016,PREGÃO PRESENCIAL,14,16-02-2016 08:30,,25-01-2016,Encerrado,"Contratação de pessoa jurídica para confecção de próteses dentárias, para atender a população de baixa renda, por meio do Programa do Governo Federal ""Brasil Sorridente"" - Portaria do Ministério da Saúde nº 2.759 de 12/12/2014.",,,,,
21/2016,PREGÃO PRESENCIAL,13,15-02-2016 08:30,,25-01-2016,Encerrado,Aquisição de gêneros alimentícios para suprir as necessidades das Secretarias da Prefeitura Municipal de Prata.,,,,,
20/2016,PREGÃO PRESENCIAL,12,12-02-2016 08:30,,25-01-2016,Encerrado,"Contratação de empresa especializada em locação, montagem e desmontagem de som com iluminação, bem como locação de tendas e disciplinadores para atender as demandas provenientes dos eventos da Prefeitura Municipal de Prata-MG.",,,,,
16/2016,TOMADA DE PREÇOS,3,11-02-2016 08:30,,22-01-2016,Encerrado,"Contratação de empresa especializada pra obras/serviços de engenharia para reforma da Escola Municipal Afonsina Maria de Jesus, no Distrito do Patrimônio do Rio do Peixe, no município de Prata - MG, conforme MPTrabalho Processo 1442-41-2011.503.0152.",,,,,
15/2016,TOMADA DE PREÇOS,2,05-02-2016 08:30,,20-01-2016,Encerrado,"Contratação de empresa especializada para obras/serviços de engenharia para a construção de 1 (uma) Unidade Básica de Saúde (UBS) Tipo 1 na Rua Coronel Emídio Marques esquina com a Rua João da Silva no Bairro Primavera, na cidade de Prata - MG, conforme número da proposta 14179123000115001, celebrado entre o Ministério da Saúde e a Prefeitura Municipal de Prata - MG.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 8 de, 10,,,
