,0,1,2,3,Aditivo,Beneficiário,CNPJ Beneficiário,Categoria do convênio,Contrapartida (R$),Convênio,Data da publicação,Data da situação,Entidade,Filtros utilizados para elaboração da consulta,Motivo,Não há documentos vinculados para este convênio.,Objeto,Período de vigência final,Repasse (R$),Selecione o formato que deseja exportar,Situação,Tipo de convênio,Total (R$),Total conveniado no período para a entidade,Vigência,Órgão concedente,EXECUÇÃO DO PROJETO ESCOTISMO,cooperação entre as partes para a execução do projeto Escotismo,Ano,Concedido (R$),Conta,Mês,Recebido (R$)
170,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 03 TC002/2018  Vigência:  29/01/2020 à 31/12/2020  Tipo de convênio:  Outros  Total (R$):  90.500,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/01/2020  Repasse (R$):  90.500,00 Contrapartida (R$):  0,00  Objeto:  Continuidade do Projeto Lapidar, consistente em oferecimento a grupos de convivência de oficinas de dança, zumba, informática, memória, jiu jitsu, música, teatro e artesanato.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 03 TC002/2018  Vigência:  29/01/2020 à 31/12/2020  Tipo de convênio:  Outros  Total (R$):  90.500,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/01/2020  Repasse (R$):  90.500,00 Contrapartida (R$):  0,00  Objeto:  Continuidade do Projeto Lapidar, consistente em oferecimento a grupos de convivência de oficinas de dança, zumba, informática, memória, jiu jitsu, música, teatro e artesanato.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 03 TC002/2018  Vigência:  29/01/2020 à 31/12/2020  Tipo de convênio:  Outros  Total (R$):  90.500,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/01/2020  Repasse (R$):  90.500,00 Contrapartida (R$):  0,00  Objeto:  Continuidade do Projeto Lapidar, consistente em oferecimento a grupos de convivência de oficinas de dança, zumba, informática, memória, jiu jitsu, música, teatro e artesanato.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 03 TC002/2018  Vigência:  29/01/2020 à 31/12/2020  Tipo de convênio:  Outros  Total (R$):  90.500,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/01/2020  Repasse (R$):  90.500,00 Contrapartida (R$):  0,00  Objeto:  Continuidade do Projeto Lapidar, consistente em oferecimento a grupos de convivência de oficinas de dança, zumba, informática, memória, jiu jitsu, música, teatro e artesanato.",,,,,,,,
171,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA  Aditivo:  TA-02 CONV 02/18  Vigência:  26/03/2020 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  02/04/2020  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÃO PARA MANUTENÇÃO DA AMALPA.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA  Aditivo:  TA-02 CONV 02/18  Vigência:  26/03/2020 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  02/04/2020  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÃO PARA MANUTENÇÃO DA AMALPA.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA  Aditivo:  TA-02 CONV 02/18  Vigência:  26/03/2020 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  02/04/2020  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÃO PARA MANUTENÇÃO DA AMALPA.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA  Aditivo:  TA-02 CONV 02/18  Vigência:  26/03/2020 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  02/04/2020  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÃO PARA MANUTENÇÃO DA AMALPA.",,,,,,,,
172,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CEAMEC - CENTRO DE APOIO AO MENOR DE CONGONHAS  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  20/09/2019  Repasse (R$):  452.520,03 Contrapartida (R$):  0,00  Objeto:  REPASSE PARA PRESTAÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL E AMPARO A CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE RISCO  Aditivo:  TA 01 TC 01/2019  Vigência:  30/11/2020 à 30/11/2021  Tipo de convênio:  Outros  Total (R$):  349.585,28  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  CEAMEC  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  01/12/2020  Repasse (R$):  349.585,28 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência do Termo de Colaboração 01/2019, com as alterações descritas no Plano de Trabalho que é parte integrante deste instrumento, sem, contudo, modificar o objeto inicial que, por sua vez, consiste na prestação de serviços de acolhimento institucional e amparo a crianças e adolescentes, de ambos os sexos, de 0 a 17 anos, 11 meses e 29 dias, em situação de risco, encaminhados pelo Juízo da Infância e Adolescência, Conselho Tutelar e Secretaria Municipal de Desenvolvimento e Assistência Social, com exceção de crianças e adolescente especiais e em conflito com a lei.",,,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CEAMEC - CENTRO DE APOIO AO MENOR DE CONGONHAS  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  20/09/2019  Repasse (R$):  452.520,03 Contrapartida (R$):  0,00  Objeto:  REPASSE PARA PRESTAÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL E AMPARO A CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE RISCO  Aditivo:  TA 01 TC 01/2019  Vigência:  30/11/2020 à 30/11/2021  Tipo de convênio:  Outros  Total (R$):  349.585,28  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  CEAMEC  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  01/12/2020  Repasse (R$):  349.585,28 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência do Termo de Colaboração 01/2019, com as alterações descritas no Plano de Trabalho que é parte integrante deste instrumento, sem, contudo, modificar o objeto inicial que, por sua vez, consiste na prestação de serviços de acolhimento institucional e amparo a crianças e adolescentes, de ambos os sexos, de 0 a 17 anos, 11 meses e 29 dias, em situação de risco, encaminhados pelo Juízo da Infância e Adolescência, Conselho Tutelar e Secretaria Municipal de Desenvolvimento e Assistência Social, com exceção de crianças e adolescente especiais e em conflito com a lei.","Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CEAMEC - CENTRO DE APOIO AO MENOR DE CONGONHAS  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  20/09/2019  Repasse (R$):  452.520,03 Contrapartida (R$):  0,00  Objeto:  REPASSE PARA PRESTAÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL E AMPARO A CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE RISCO  Aditivo:  TA 01 TC 01/2019  Vigência:  30/11/2020 à 30/11/2021  Tipo de convênio:  Outros  Total (R$):  349.585,28  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  CEAMEC  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  01/12/2020  Repasse (R$):  349.585,28 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência do Termo de Colaboração 01/2019, com as alterações descritas no Plano de Trabalho que é parte integrante deste instrumento, sem, contudo, modificar o objeto inicial que, por sua vez, consiste na prestação de serviços de acolhimento institucional e amparo a crianças e adolescentes, de ambos os sexos, de 0 a 17 anos, 11 meses e 29 dias, em situação de risco, encaminhados pelo Juízo da Infância e Adolescência, Conselho Tutelar e Secretaria Municipal de Desenvolvimento e Assistência Social, com exceção de crianças e adolescente especiais e em conflito com a lei.",,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CEAMEC - CENTRO DE APOIO AO MENOR DE CONGONHAS  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  20/09/2019  Repasse (R$):  452.520,03 Contrapartida (R$):  0,00  Objeto:  REPASSE PARA PRESTAÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL E AMPARO A CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE RISCO  Aditivo:  TA 01 TC 01/2019  Vigência:  30/11/2020 à 30/11/2021  Tipo de convênio:  Outros  Total (R$):  349.585,28  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  CEAMEC  CNPJ Beneficiário:  02.476.328/0001-04  Data da publicação:  01/12/2020  Repasse (R$):  349.585,28 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência do Termo de Colaboração 01/2019, com as alterações descritas no Plano de Trabalho que é parte integrante deste instrumento, sem, contudo, modificar o objeto inicial que, por sua vez, consiste na prestação de serviços de acolhimento institucional e amparo a crianças e adolescentes, de ambos os sexos, de 0 a 17 anos, 11 meses e 29 dias, em situação de risco, encaminhados pelo Juízo da Infância e Adolescência, Conselho Tutelar e Secretaria Municipal de Desenvolvimento e Assistência Social, com exceção de crianças e adolescente especiais e em conflito com a lei.",,,,,,,,
173,,,,,,,,,,TC 01/2020,,,,,,,,,,,,Outros,"45.111,96",,23/12/2020 à 30/06/2021,,,,,,,,
174,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  29/12/2020  Repasse (R$):  45.111,96 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 19 (dezenove) pessoas adultas, em situação de rua ou violência doméstica, na cidade de Congonhas/MG, no período de permanência da pandemia do coronavírus - COVIDE/19.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  29/12/2020  Repasse (R$):  45.111,96 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 19 (dezenove) pessoas adultas, em situação de rua ou violência doméstica, na cidade de Congonhas/MG, no período de permanência da pandemia do coronavírus - COVIDE/19.  Não existem aditivos vinculados ao convênio.","Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  29/12/2020  Repasse (R$):  45.111,96 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 19 (dezenove) pessoas adultas, em situação de rua ou violência doméstica, na cidade de Congonhas/MG, no período de permanência da pandemia do coronavírus - COVIDE/19.  Não existem aditivos vinculados ao convênio.",,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  29/12/2020  Repasse (R$):  45.111,96 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 19 (dezenove) pessoas adultas, em situação de rua ou violência doméstica, na cidade de Congonhas/MG, no período de permanência da pandemia do coronavírus - COVIDE/19.  Não existem aditivos vinculados ao convênio.",,,,,,,,
175,,,,,,,,,,TF 02/2020,,,,,,,,,,,,Outros,"130.000,00",,02/09/2020 à 31/12/2021,,,,,,,,
176,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO RECICLANDO VIDAS  CNPJ Beneficiário:  12.820.799/0001-41  Data da publicação:  02/09/2020  Repasse (R$):  130.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do Projeto Reciclando Vidas, consistente no atendimento a 200 crianças na faixa etária de 0 a 17 anos e 11 meses, por meio de trabalho social, atendimento e serviço de convivência e fortalecimento de vínculos  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO RECICLANDO VIDAS  CNPJ Beneficiário:  12.820.799/0001-41  Data da publicação:  02/09/2020  Repasse (R$):  130.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do Projeto Reciclando Vidas, consistente no atendimento a 200 crianças na faixa etária de 0 a 17 anos e 11 meses, por meio de trabalho social, atendimento e serviço de convivência e fortalecimento de vínculos  Não existem aditivos vinculados ao convênio.","Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO RECICLANDO VIDAS  CNPJ Beneficiário:  12.820.799/0001-41  Data da publicação:  02/09/2020  Repasse (R$):  130.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do Projeto Reciclando Vidas, consistente no atendimento a 200 crianças na faixa etária de 0 a 17 anos e 11 meses, por meio de trabalho social, atendimento e serviço de convivência e fortalecimento de vínculos  Não existem aditivos vinculados ao convênio.",,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO RECICLANDO VIDAS  CNPJ Beneficiário:  12.820.799/0001-41  Data da publicação:  02/09/2020  Repasse (R$):  130.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do Projeto Reciclando Vidas, consistente no atendimento a 200 crianças na faixa etária de 0 a 17 anos e 11 meses, por meio de trabalho social, atendimento e serviço de convivência e fortalecimento de vínculos  Não existem aditivos vinculados ao convênio.",,,,,,,,
177,,,,,,,,,,TF 03/2020,,,,,,,,,,,,Outros,"50.000,00",,02/09/2020 à 31/12/2021,,,,,,,,
178,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  GRUPO ESCOTEIRO CIDADE DOS PROFETAS  CNPJ Beneficiário:  23.966.320/0001-04  Data da publicação:  02/09/2020  Repasse (R$):  50.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do projeto Escotismo: Aventura Saudável, consistente no desenvolvimento de ações para a formação de 80 jovens, mediante programação com o objetivo de fortalecer as famílias, de elevar a autoestima e de potencializar virtudes individuais.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  GRUPO ESCOTEIRO CIDADE DOS PROFETAS  CNPJ Beneficiário:  23.966.320/0001-04  Data da publicação:  02/09/2020  Repasse (R$):  50.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do projeto Escotismo: Aventura Saudável, consistente no desenvolvimento de ações para a formação de 80 jovens, mediante programação com o objetivo de fortalecer as famílias, de elevar a autoestima e de potencializar virtudes individuais.  Não existem aditivos vinculados ao convênio.","Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  GRUPO ESCOTEIRO CIDADE DOS PROFETAS  CNPJ Beneficiário:  23.966.320/0001-04  Data da publicação:  02/09/2020  Repasse (R$):  50.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do projeto Escotismo: Aventura Saudável, consistente no desenvolvimento de ações para a formação de 80 jovens, mediante programação com o objetivo de fortalecer as famílias, de elevar a autoestima e de potencializar virtudes individuais.  Não existem aditivos vinculados ao convênio.",,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2021  Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  GRUPO ESCOTEIRO CIDADE DOS PROFETAS  CNPJ Beneficiário:  23.966.320/0001-04  Data da publicação:  02/09/2020  Repasse (R$):  50.000,00 Contrapartida (R$):  0,00  Objeto:  cooperação entre as partes para a execução do projeto Escotismo: Aventura Saudável, consistente no desenvolvimento de ações para a formação de 80 jovens, mediante programação com o objetivo de fortalecer as famílias, de elevar a autoestima e de potencializar virtudes individuais.  Não existem aditivos vinculados ao convênio.",,,,,,,,
179,,,,,,,,,,TF 04/2020,,,,,,,,,,,,Outros,"84.984,00",,02/09/2020 à 31/12/2021,,,,,,,,
