,N° Processo,N° Contrato,Modalidade,Tipo,Data do Aditivo,Abertura,Objeto,Valor,Datas,Situação,Editais de Licitação e Demais Arquivos,
54, 000032/2021," 0215/2021
",Dispensa,Menor Preço,,03/05/2021,"CONTRATACAO DE EMPRESA PARA ELABORACAO DE PROJETO DE RECADASTRAMENTO DO SISTEMA DE ILUMINAÇÃO PUBLICA DE DIVERSOS LOGRADOUROS DO MUNICIPIO DE CAREACU, COM EQUIPAMENTOS EM LED, VISANDO A ATUALIZACAO DA PLANTA DE ILUMINACAO PUBLICA JUNTO A CONCESSIONARIA DE ENERGIA (CEMIG) PARA REQUERER A ECONOMIA DO CONSUMO DE ENERGIA QUE A ILUMINACAO ATUAL EM LED OFERECE POR SER MAIS EFICIENTE, OBEDECENDO RIGOROSAMENTE AS NORMAS DA ABNT NBR 5101.",9708,"Homologação: 03/05/2021
Julgamento: 03/05/2021
Adjudicação: 03/05/2021
Prazo de Execução: 6 Meses
",Finalizado,,
55, 000031/2021," 0205/2021
",Dispensa,Menor Preço,,30/04/2021,"CONTRATACAO DE EMPRESA PARA A LOCACAO DE 05 MAQUINAS COPIADORAS PARA O ATENDIMENTO AO SETOR DE SAUDE, ADMINISTRACAO E EDUCACAO.",10350,"Homologação: 30/04/2021
Julgamento: 30/04/2021
Adjudicação: 30/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
56, 000030/2021," 0224/2021
",Pregão,Menor Preço,,12/05/2021,"AQUISICAO DE CESTAS BASICAS PARA O ATENDIMENTO AS PESSOAS QUE SE ENCONTRAM EM SITUACAO DE VULNERABILIDADE SOCIAL, POR DECORRENCIA DA PANDEMIA DA COVID-19 (NOVO CORONAVIRUS).",74350,"Edital: 28/04/2021
Homologação: 19/05/2021
Julgamento: 12/05/2021
Adjudicação: 12/05/2021
Data de publicação: 28/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
57, 000029/2021," 0223/2021
",Pregão,Menor Preço,,11/05/2021,"CONTRATACAO DE UMA EMPRESA VISANDO O FORNECIMENTO DE GALOES DE AGUA MINERAL, PARA A MANUTENCAO DOS DIVERSOS SETORES DA PREFEITURA MUNICIPAL.",8660,"Edital: 27/04/2021
Homologação: 18/05/2021
Julgamento: 11/05/2021
Adjudicação: 11/05/2021
Data de publicação: 27/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
58, 000028/2021," 0219/2021
",Pregão,Menor Preço,,06/05/2021,AQUISICAO DE 12 CACAMBAS ESTACIONARIAS 4M³ EM ATENDIMENTO AO SETOR DE OBRAS DO MUNICIPIO DE CAREACU/MG.,54360,"Edital: 22/04/2021
Homologação: 12/05/2021
Julgamento: 06/05/2021
Adjudicação: 06/05/2021
Data de publicação: 22/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
59, 000027/2021," 0220/2021
",Tomada de Preços,Menor Preço,,07/05/2021,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA OBRAS COMPLEMENTARES E CONSTRUCAO DE PRACA DO LOTEAMENTO NOVO HORIZONTE I, II E III.",128124.89,"Edital: 16/04/2021
Homologação: 14/05/2021
Julgamento: 07/05/2021
Adjudicação: 07/05/2021
Data de publicação: 16/04/2021
Prazo de Execução: 3 Meses
",Finalizado,,
60, 000027/2021 / A," 0220/2021 / ADITIVO
",Tomada de Preços,Menor Preço,10/08/2021,07/05/2021,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA OBRAS COMPLEMENTARES E CONSTRUCAO DE PRACA DO LOTEAMENTO NOVO HORIZONTE I, II E III.",13428.19,"Edital: 16/04/2021
Homologação: 14/05/2021
Julgamento: 07/05/2021
Adjudicação: 07/05/2021
Data de publicação: 16/04/2021
Prazo de Execução: 3 Meses
",Finalizado,,
61, 000026/2021," 0218/2021
",Pregão,Menor Preço,,30/04/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE REFEICOES E REFRIGERANTES PARA ATENDER AOS DIVERSOS SETORES DA ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.,40300,"Edital: 14/04/2021
Homologação: 06/05/2021
Julgamento: 30/04/2021
Adjudicação: 30/04/2021
Data de publicação: 14/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
62, 000025/2021," 0227/2021
 0228/2021
 0226/2021
 0225/2021
 0229/2021
 0230/2021
",Pregão,Menor Preço,,29/04/2021,AQUISICAO DE PNEUS E ACESSORIOS PARA A MANUTENCAO DOS VEICULOS E MAQUINAS PERTENCENTE A FROTA MUNICIPAL.,1282472.6,"Edital: 13/04/2021
Homologação: 20/05/2021
Julgamento: 29/04/2021
Adjudicação: 29/04/2021
Data de publicação: 13/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
63, 000024/2021," 0211/2021
 0214/2021
 0212/2021
 0213/2021
",Pregão,Menor Preço,,27/04/2021,"AQUISICAO DE MATERIAIS DE CONSTRUCAO, PARA A MANUTENCAO DE VARIOS SETORES DA ADMINISTRACAO MUNICIPAL.",688006.75,"Edital: 12/04/2021
Homologação: 03/05/2021
Julgamento: 27/04/2021
Adjudicação: 27/04/2021
Data de publicação: 12/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
64, 000023/2021," 0203/2021
 0194/2021
 0201/2021
 0204/2021
 0199/2021
 0195/2021
 0197/2021
 0192/2021
 0202/2021
 0200/2021
 0196/2021
 0193/2021
 0198/2021
",Pregão,Menor Preço,,20/04/2021,AQUISICAO DE MEDICAMENTOS PARA A MANUTENCAO DO SETOR DE SAUDE MUNICIPAL.,1436643.5,"Edital: 06/04/2021
Homologação: 30/04/2021
Julgamento: 20/04/2021
Adjudicação: 26/04/2021
Data de publicação: 06/04/2021
Prazo de Execução: 12 Meses
",Finalizado,,
65, 000022/2021," 0166/2021
",Dispensa,Menor Preço,,30/03/2021,"CONTRATACAO DE EMPRESA PARA ASSESSORIA, PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS EM PATRIMONIO CULTURAL, ASSESSORIA CULTURAL E IMPLEMENTACAO DO SMC (SISTEMA MUNICIPAL DE CULTURA).",12000,"Homologação: 30/03/2021
Julgamento: 30/03/2021
Adjudicação: 30/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
66, 000021/2021," 0185/2021
",Pregão,Menor Preço,,14/04/2021,"CONTRATACAO DE EMPRESA PARA IMPLANTACAO, TREINAMENTO, CAPACITACAO, ACESSO AS FUNCIONALIDADES DO SOFTWARE DE GESTAO DOS DOCUMENTOS, BACKUP EM MIDIA PESQUISAVEL OFF-LINE, ASSISTENCIA TECNICA E SUPORTE COMPLETO.",14280,"Edital: 29/03/2021
Homologação: 20/04/2021
Julgamento: 14/04/2021
Adjudicação: 14/04/2021
Data de publicação: 29/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
67, 000020/2021," 0180/2021
 0184/2021
 0183/2021
 0181/2021
 0182/2021
",Pregão,Menor Preço,,13/04/2021,AQUISICAO DE MATERIAIS ESPORTIVOS PARA A MANUTENCAO DO SETOR DE ESPORTES E O CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DESTE MUNICIPIO.,151714.03,"Edital: 25/03/2021
Homologação: 19/04/2021
Julgamento: 13/04/2021
Adjudicação: 13/04/2021
Data de publicação: 25/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
68, 000019/2021," 0164/2021
",Dispensa,Menor Preço,,26/03/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE MATERIAIS DE CONSTRUCAO PARA REFORMA DA RESIDENCIA DA SRA. JULIANA APARECIDA CARVALHO NO MUNICIPIO DE CAREACU/MG.,12160.6,"Homologação: 26/03/2021
Julgamento: 26/03/2021
Adjudicação: 26/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
69, 000019/2021 / A," 0164/2021 / ADITIVO
",Dispensa,Menor Preço,25/06/2021,26/03/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE MATERIAIS DE CONSTRUCAO PARA REFORMA DA RESIDENCIA DA SRA. JULIANA APARECIDA CARVALHO NO MUNICIPIO DE CAREACU/MG.,1708.6,"Homologação: 26/03/2021
Julgamento: 26/03/2021
Adjudicação: 26/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
70, 000018/2021," 0191/2021
 0187/2021
 0186/2021
 0188/2021
 0189/2021
 0190/2021
",Pregão,Menor Preço,,08/04/2021,CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE MATERIAL DE LIMPEZA E UTENSILIOS PARA A MANUTENCAO DOS SETORES DA EDUCACAO E ADMINISTRACAO DA PREFEITURA MUNICIPAL.,829440.14,"Edital: 22/03/2021
Homologação: 22/04/2021
Julgamento: 08/04/2021
Adjudicação: 15/04/2021
Data de publicação: 22/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
71, 000018/2021 / A," 0191/2021 / ADITIVO
",Pregão,Menor Preço,04/10/2021,08/04/2021,CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE MATERIAL DE LIMPEZA E UTENSILIOS PARA A MANUTENCAO DOS SETORES DA EDUCACAO E ADMINISTRACAO DA PREFEITURA MUNICIPAL.,739.63,"Edital: 22/03/2021
Homologação: 22/04/2021
Julgamento: 08/04/2021
Adjudicação: 15/04/2021
Data de publicação: 22/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
72, 000017/2021," 0162/2021
",Dispensa,Menor Preço,,15/03/2021,"CONTRATACAO DE UMA EMPRESA PARA O FORNECIMENTO DE OVOS DE PASCOA, EM ATENDIMENTO AO SETOR DE EDUCACAO DESTE MUNICIPIO.",16350,"Homologação: 15/03/2021
Julgamento: 15/03/2021
Adjudicação: 15/03/2021
Prazo de Execução: 1 Mes
",Finalizado,,
73, 000016/2021," 0160/2020
",Dispensa,Menor Preço,,12/03/2021,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAL PAISAGISTICO E MAO DE OBRA PARA EXECUCAO DE TODO SERVICO, DESLOCAMENTO E ACOMPANHAMENTO TECNICO PARA A PRACA HORACIO BRANCO NESTE MUNICIPIO.",6000,"Homologação: 12/03/2021
Julgamento: 12/03/2021
Adjudicação: 12/03/2021
Prazo de Execução: 1 Mes
",Finalizado,,
74, 000015/2021," 0174/2021
 0175/2021
 0173/2021
 0177/2021
 0172/2021
 0176/2021
",Pregão,Menor Preço,,06/04/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE EQUIPAMENTOS PARA O ATENDIMENTO AO CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DA PREFEITURA MUNICIPAL.,42963.4,"Edital: 11/03/2021
Homologação: 12/04/2021
Julgamento: 06/04/2021
Adjudicação: 06/04/2021
Data de publicação: 11/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
75, 000014/2021," 0165/2021
",Pregão,Menor Preço,,24/03/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE LUVAS DE PROCEDIMENTO LATEX PARA USO NOS DIVERSOS SETORES DA ADMINISTRACAO MUNICIPAL.,269500,"Edital: 09/03/2021
Homologação: 30/03/2021
Julgamento: 24/03/2021
Adjudicação: 24/03/2021
Data de publicação: 09/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
76, 000013/2021," 0171/2021
 0170/2021
 0168/2021
 0169/2021
",Dispensa,Menor Preço,,31/03/2021,"AQUISICAO DE GENEROS ALIMENTICIOS, NA CONFORMIDADE DO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR, PNAE, NOS MOLDES DA LEI Nº 11947/2009 E RESOLUCAO 38/2009 DE 16/07/2009 (FNDE), LEI 8666/93, ART. 24 E DEMAIS NORMAS QUE REGEM A MATERIA.",180164.9,"Homologação: 07/04/2021
Julgamento: 31/03/2021
Adjudicação: 31/03/2021
Prazo de Execução: 12 Meses
",Finalizado,,
77, 000012/2021," 0134/2021
",Dispensa,Menor Preço,,02/03/2021,"CONTRATACAO DE EMPRESA PARA REALIZACAO DE PROCESSO SELETIVO PARA O ANO DE 2021, NA PREFEITURA MUNICIPAL DE CAREACU/MG, PARA AS SECRETARIAS DE EDUCACAO, SAUDE E ADMINISTRACAO.",8000,"Homologação: 02/03/2021
Julgamento: 02/03/2021
Adjudicação: 02/03/2021
Prazo de Execução: 90 Dias
",Finalizado,,
78, 000011/2021," 0130/2021
",Dispensa,Menor Preço,,26/02/2021,"CONTRATACAO DE EMPRESA PARA AQUISICAO DE BOLSA SACOLA PARA ENTREGA DOS KITS ESCOLARES, EM ATENDIMENTO AO SETOR DE EDUCACAO DESTE MUNICIPIO.",9778.5,"Homologação: 26/02/2021
Julgamento: 26/02/2021
Adjudicação: 26/02/2021
Prazo de Execução: 1 Mes
",Finalizado,,
79, 000010/2021," 0161/2021
",Pregão,Menor Preço,,09/03/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE MOBILIARIO E MONTAGEM PARA A ESCOLA MUNICIPAL COMENDADOR ANTONIO FLORENCIO NOGUEIRA NO MUNICIPIO DE CAREACU/MG.,49374,"Edital: 22/02/2021
Homologação: 15/03/2021
Julgamento: 09/03/2021
Adjudicação: 09/03/2021
Data de publicação: 22/02/2021
Prazo de Execução: 12 Meses
",Finalizado,,
80, 000009/2021," 0137/2021
",Pregão,Menor Preço,,26/02/2021,"CONTRATACAO DE EMPRESA PARA A PRESTACAO DE SERVICOS DE ASSESSORIA PARA APERFEICOAMENTO E UTILIZACAO DO SISTEMA DE PRONTUARIO ELETRONICO EM TODA SUA REDE DA APS, ACOMPANHAMENTO REGULAR DO ENVIO E QUALIDADE DE DADOS E INFORMACOES AO SISTEMA DO PRONTUARIO ELETRONICO AO MINISTERIO DA SAUDE, MONITORAMENTO REGULAR A EXPORTACAO DOS DADOS ENVIADOS AO MINISTERIO DA SAUDE DO SISTEMA PEC, AUXILIAR NA UTILIZACAO DO SISTEMA PEC DA ESTRATEGIA ESUS APS COM TREINAMENTOS E ANALISE DE RELATORIOS JUNTO AOS PROFISSIONAIS ENVOLVIDOS, INSTALAR E MONITORAR A EFICIENCIA DA REDE DENTRO DO AMBIENTE ESUS, GARANTIR TREINAMENTO A TODOS COLABORADORES.",30000,"Edital: 11/02/2021
Homologação: 04/03/2021
Julgamento: 26/02/2021
Adjudicação: 26/02/2021
Data de publicação: 11/02/2021
Prazo de Execução: 12 Meses
",Finalizado,,
81, 000008/2021," 0110/2021
",Dispensa,Menor Preço,,08/02/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO E INSTALACAO DE PERSIANAS NAS DEPENDENCIAS DO PACO MUNICIPAL.,16960,"Homologação: 08/02/2021
Julgamento: 08/02/2021
Adjudicação: 08/02/2021
Prazo de Execução: 12 Meses
",Finalizado,,
82, 000007/2021," 0145/2021
 0142/2021
 0139/2021
 0140/2021
 0138/2021
 0141/2021
 0143/2021
 0144/2021
",Pregão,Menor Preço,,24/02/2021,"CONTRATACAO DE EMPRESA PARA AQUISICAO DE EQUIPAMENTOS PARA O ATENDIMENTO DOS SETORES DE EDUCACAO, SAUDE E ADMINISTRACAO MUNICIPAL.",102398.98,"Edital: 08/02/2021
Homologação: 09/03/2021
Julgamento: 24/02/2021
Adjudicação: 04/03/2021
Data de publicação: 08/02/2021
Prazo de Execução: 12 Meses
",Finalizado,,
83, 000006/2021," 0108/2021
",Dispensa,Menor Preço,,02/02/2021,"PRESTACAO DE SERVICOS EM EXAMES ESPECIALIZADOS, EXAMES LABORATORIAIS DE PATOLOGIA CLINICA, PROCEDIMENTOS OFTALMOLOGICOS, PEQUENAS CIRURGIAS DE MEDIA COMPLEXIDADE E CONSULTAS E EXAMES ESPECIALIZADOS QUE NAO ESTEJAM CONTEMPLADAS PELA COTA DO MUNICIPIO DE CAREACU/MG.",150000,"Homologação: 02/02/2021
Julgamento: 29/01/2021
Adjudicação: 29/01/2021
Prazo de Execução: 11 Meses
",Finalizado,,
84, 000005/2021," 0127/2021
",Pregão,Menor Preço,,10/02/2021,"AQUISICAO DE PECAS PARA BOMBEAMENTO DE AGUA E MAO DE OBRA PARA INSTALACAO E MANUTENCAO DE PAINEIS E PECAS, PARA USO NOS POCOS ARTESIANOS DOS BAIRROS BREJAO, PENHA, FORTES, CORREGO FUNDO E PEDRA PRETA NO MUNICIPIO DE CAREACU/MG.",232950,"Edital: 26/01/2021
Homologação: 17/02/2021
Julgamento: 10/02/2021
Adjudicação: 10/02/2021
Data de publicação: 26/01/2021
Prazo de Execução: 12 Meses
",Finalizado,,
85, 000004/2021," 0112/2021
",Pregão,Menor Preço,,02/02/2021,"AQUISICAO DE COMBUSTIVEL GASOLINA COMUM, OLEO DIESEL COMUM, OLEO DIESEL S10 (NA CONFORMIDADE DA RESOLUCAO ANP 65/2011) E ETANOL, PARA A MANUTENCAO DOS VEICULOS PERTENCENTE A FROTA DA PREFEITURA MUNICIPAL DE CAREACU-MG.",4055650,"Edital: 14/01/2021
Homologação: 11/02/2021
Julgamento: 02/02/2021
Adjudicação: 02/02/2021
Data de publicação: 14/01/2021
Prazo de Execução: 12 Meses
",Finalizado,,
86, 000003/2021," 0116/2021
 0118/2021
 0117/2021
 0114/2021
 0115/2021
 0120/2021
 0119/2021
",Pregão,Menor Preço,,28/01/2021,AQUISICAO DE GENEROS ALIMENTICIOS PARA ATENDIMENTO AOS SETORES DA EDUCACAO E ADMINISTRACAO DA PREFEITURA MUNICIPAL.,597022.4,"Edital: 13/01/2021
Homologação: 15/02/2021
Julgamento: 28/01/2021
Adjudicação: 15/02/2021
Data de publicação: 13/01/2021
Prazo de Execução: 12 Meses
",Finalizado,,
87, 000002/2021," 0111/2021
",Pregão,Menor Preço,,27/01/2021,"AQUISICAO DE LEITE PASTEURIZADO TIPO B, PARA O ATENDIMENTO AOS SETORES DA EDUCACAO, CRAS, SAUDE E ADMINISTRACAO MUNICIPAL.",90850,"Edital: 12/01/2021
Homologação: 11/02/2021
Julgamento: 27/01/2021
Adjudicação: 27/01/2021
Data de publicação: 12/01/2021
Prazo de Execução: 12 Meses
",Finalizado,,
88, 000001/2021," 0096/2021
",Dispensa,Menor Preço,,08/01/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE EQUIPAMENTOS DE SEGURANCA ELETRONICA PARA O PACO MUNICIPAL E CONSELHO TUTELAR.,13794.5,"Homologação: 08/01/2021
Julgamento: 08/01/2021
Adjudicação: 08/01/2021
Prazo de Execução: 12 Meses
",Finalizado,,
89, 000082/2020," 0097/2021
",Pregão,Menor Preço,,06/01/2021,AQUISICAO DE KITS ESCOLARES PARA O ATENDIMENTO AO SETOR DE EDUCACAO DESTE MUNICIPIO NO ANO LETIVO DE 2021.,133592.5,"Edital: 16/12/2020
Homologação: 14/01/2021
Julgamento: 06/01/2021
Adjudicação: 06/01/2021
Data de publicação: 16/12/2020
Prazo de Execução: 12 Meses
",Finalizado,,
90, 000061/2020 / A," 0251/2020 / ADITIVO
",Pregão,Menor Preço,10/06/2021,01/09/2020,"AQUISICAO DE MATERIAL HOSPITALAR PARA MANUTENCAO DA SECRETARIA DE SAUDE E FRALDAS, EM ATENDIMENTO AOS SETORES DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DESTE MUNICIPIO.",468.75,"Edital: 17/08/2020
Homologação: 14/09/2020
Julgamento: 01/09/2020
Adjudicação: 08/09/2020
Data de publicação: 17/08/2020
Prazo de Execução: 12 Meses
",Finalizado,,
91, 000052/2020 / A," 0200/2020 / ADITIVO
",Pregão,Menor Preço,21/07/2021,15/07/2020,"CONTRATACAO DE PRESTACAO DE SERVICOS, COM UMA MAQUINA ESCAVADEIRA HIDRAULICA E UMA MAQUINA RETROESCAVADEIRA, PARA EXECUCAO DE SERVICOS DIVERSOS COMO MANUTENCAO DE ESTRADAS VICINAIS E DE VIAS URBANAS E LOGRADOUROS, ATERROS, DESATERROS, REGULARIZACAO E LIMPEZA DE VIAS URBANAS, PAVIMENTACAO COM CASCALHO DE ESTRADAS MUNICIPAIS, ABERTURA DE VALAS, DRENAGEM, SERVICOS NO DEPOSITO DE LIXO MUNICIPAL ETC.",395000,"Edital: 30/06/2020
Homologação: 21/07/2020
Julgamento: 15/07/2020
Adjudicação: 15/07/2020
Data de publicação: 30/06/2020
Prazo de Execução: 12 Meses
",Finalizado,,
92, 000044/2020 / A," 0173/2020 / ADITIVO
",Tomada de Preços,Menor Preço,22/02/2021,19/06/2020,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA REFORMA DA ESCOLA MUNICIPAL COMENDADOR ANTONIO FLORENCIO NOGUEIRA.",54169.63,"Edital: 01/06/2020
Homologação: 29/06/2020
Julgamento: 19/06/2020
Adjudicação: 19/06/2020
Data de publicação: 02/06/2020
Prazo de Execução: 3 Meses
",Finalizado,,
93, 000036/2020 / A," 0170/2020 / ADITIVO
",Tomada de Preços,Menor Preço,22/01/2021,21/05/2020,CALCAMENTO EM BLOQUETES DE CONCRETO SEXTAVADOS NA ESTRADA VICINAL BAIRRO DA PENHA E BAIRRO CORREGO FUNDO NO MUNICIPIO DE CAREACU/MG.,89349.84,"Edital: 04/05/2020
Homologação: 24/06/2020
Julgamento: 21/05/2020
Adjudicação: 18/06/2020
Data de publicação: 05/05/2020
Prazo de Execução: 6 Meses
",Finalizado,,
94, 000036/2020 / B," 0170/2020 / ADITIVO
",Tomada de Preços,Menor Preço,03/08/2021,21/05/2020,CALCAMENTO EM BLOQUETES DE CONCRETO SEXTAVADOS NA ESTRADA VICINAL BAIRRO DA PENHA E BAIRRO CORREGO FUNDO NO MUNICIPIO DE CAREACU/MG.,357608.96,"Edital: 04/05/2020
Homologação: 24/06/2020
Julgamento: 21/05/2020
Adjudicação: 18/06/2020
Data de publicação: 05/05/2020
Prazo de Execução: 6 Meses
",Finalizado,,
95, 000031/2020 / A," 0142/2020 / ADITIVO
",Pregão,Menor Preço,01/04/2021,30/04/2020,"CONTRATACAO DE SERVICOS DE CONSULTORIA EM ENGENHARIA PARA ELABORACAO DE PROJETO DE ILUMINACAO PUBLICA, COM TECNOLOGIA LED, SERVICOS DE MEDICAO E VERIFICACAO - M & V, ALEM DE SERVICOS DE APOIO TECNICO A FISCALIZACAO, SUPERVISAO E GERENCIAMENTO DE OBRA, ESTABELECIDOS NO TERMO DE COOPERACAO TECNICA CELEBRADO COM A ELETROBRAS, NO AMBITO DO PROCEL RELUZ",4728.72,"Edital: 13/04/2020
Homologação: 07/05/2020
Julgamento: 30/04/2020
Adjudicação: 30/04/2020
Data de publicação: 14/04/2020
Prazo de Execução: 12 Meses
",Finalizado,,
96, 000030/2020 / A," 0147/2020 / ADITIVO
",Tomada de Preços,Menor Preço,05/07/2021,24/04/2020,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA A REVITALIZACAO DA PRACA JOSE PROCOPIO JUNQUEIRA, COM AREA TOTAL DE INTERVENCAO DE 6375.39 M², ONDE SERAO EXECUTADOS OS SERVICOS DE TROCA DE PISOS, SUBSTITUICAO DE BANCOS, LUMINARIAS E LIXEIRAS E PAISAGISMO.",135929.72,"Edital: 06/04/2020
Homologação: 19/05/2020
Julgamento: 24/04/2020
Adjudicação: 11/05/2020
Data de publicação: 07/04/2020
Prazo de Execução: 6 Meses
",Finalizado,,
97, 000028/2020 / A," 0125/2020 / ADITIVO
 0127/2020 / ADITIVO
",Pregão,Menor Preço,19/02/2021,17/04/2020,AQUISICAO DE MEDICAMENTOS PARA A MANUTENCAO DO SETOR DE SAUDE MUNICIPAL.,1690,"Edital: 30/03/2020
Homologação: 27/04/2020
Julgamento: 17/04/2020
Adjudicação: 17/04/2020
Data de publicação: 30/03/2020
Prazo de Execução: 12 Meses
",Finalizado,,
98, 000028/2020 / B,,Pregão,Menor Preço,11/03/2021,17/04/2020,AQUISICAO DE MEDICAMENTOS PARA A MANUTENCAO DO SETOR DE SAUDE MUNICIPAL.,580,"Edital: 30/03/2020
Homologação: 27/04/2020
Julgamento: 17/04/2020
Adjudicação: 17/04/2020
Data de publicação: 30/03/2020
Prazo de Execução: 12 Meses
",Finalizado,,
99, 000025/2020 / A," 0129/2020 / ADITIVO
 0128/2020 / ADITIVO
",Pregão,Menor Preço,27/01/2021,14/04/2020,"AQUISICAO DE MATERIAIS DE CONSTRUCAO, PARA A MANUTENCAO DE VARIOS SETORES DA ADMINISTRACAO MUNICIPAL.",56001.41,"Edital: 25/03/2020
Homologação: 28/04/2020
Julgamento: 14/04/2020
Adjudicação: 28/04/2020
Data de publicação: 25/03/2020
Prazo de Execução: 12 Meses
",Finalizado,,
100, 000004/2020 / A," 0057/2020 / ADITIVO
",Tomada de Preços,Menor Preço,14/07/2021,30/01/2020,CONTRATACAO DE EMPRESA PARA AMPLIACAO TIPO B - PROJETO PADRAO FNDE DO PROINFANCIA (CEMEI MONSENHOR NELSON LEITE LEMES).,50683.03,"Edital: 08/01/2020
Homologação: 05/02/2020
Julgamento: 30/01/2020
Adjudicação: 30/01/2020
Data de publicação: 08/01/2020
Prazo de Execução: 4 Meses
",Finalizado,,
101, 000072/2019 / C," 0317/2019 / ADITIVO
 0316/2019 / ADITIVO
",Pregão,Menor Preço,26/11/2021,21/11/2019,"CONTRATACAO DE EMPRESA PARA A PRESTACAO DE SERVICOS ESPECIALIZADOS DE EMBUCHAMENTO E SERVICOS DE EIXO NOS DIVERSOS VEICULOS, PERTECENTES A FROTA MUNICIPAL.",102480,"Edital: 06/11/2019
Homologação: 27/11/2019
Julgamento: 21/11/2019
Adjudicação: 21/11/2019
Data de publicação: 07/11/2019
Prazo de Execução: 12 Meses
",Finalizado,,
102, 000068/2019 / B," 0313/2019 / ADITIVO
 0311/2019 / ADITIVO
 0312/2019 / ADITIVO
",Pregão,Menor Preço,11/11/2021,05/11/2019,"CONTRATACAO DE EMPRESA PARA A PRESTACAO DE SERVICOS ESPECIALIZADOS DE BOMBAS E BICOS INJETORES EM VEICULOS E MAQUINAS, PERTENCENTES A FROTA MUNICIPAL.",148000,"Edital: 21/10/2019
Homologação: 11/11/2019
Julgamento: 05/11/2019
Adjudicação: 05/11/2019
Data de publicação: 22/10/2019
Prazo de Execução: 12 Meses
",Finalizado,,
103, 000055/2019 / B," 0283/2019 / ADITIVO
",Tomada de Preços,Menor Preço,02/08/2021,17/09/2019,CONTRATACAO DE MAO DE OBRA PARA MANUTENCAO DE PAVIMENTO EM BLOQUETES DE CONCRETO SEXTAVADOS NAS RUAS DIVERSAS DE CAREACU-MG.,201440,"Edital: 22/08/2019
Homologação: 15/10/2019
Julgamento: 17/09/2019
Adjudicação: 09/10/2019
Data de publicação: 23/08/2019
Prazo de Execução: 12 Meses
",Finalizado,,
104, 000054/2019 / B," 0249/2019 / ADITIVO
",Pregão,Menor Preço,10/09/2021,05/09/2019,"CONTRATACAO DE EMPRESA PARA A PRESTACAO DE SERVICOS MECANICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), PERTENCENTE A FROTA MUNICIPAL.",56400,"Edital: 21/08/2019
Homologação: 11/09/2019
Julgamento: 05/09/2019
Adjudicação: 05/09/2019
Data de publicação: 22/08/2019
Prazo de Execução: 12 Meses
",Finalizado,,
105, 000048/2019 / B," 0208/2019 / ADITIVO
",Dispensa,Menor Preço,30/07/2021,30/07/2019,"LOCACAO DE AREA RURAL, SITUADA NO SITIO SERRA, RODOVIA FERNAO DIAS, KM 763, MUNICIPIO DE CAREACU-MG, PARA DESCARTE DE ENTULHOS DA CONSTRUCAO CIVIL.",16380,"Homologação: 30/07/2019
Julgamento: 30/07/2019
Adjudicação: 30/07/2019
",Finalizado,,
